"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"55","55","2","2991.8215346311777","10","3120.6446740858505","1030.8762905670133","1088.0","7595.0","3124.0","1.1777313E7","186.02557273027577","144.9654108330703","165.37660466003197","3282.3048780487807","5.0","1","33"
"56","56","2","3469.228309131642","9","3580.677530471648","1569.0810548302602","1100.0","9397.0","3243.0","1.3513477E7","185.5243697860066","145.9678167216087","165.37660466003197","3695.777777777778","5.0","1","33"
"57","57","2","3377.813087600537","8","3380.0132275132273","2004.484015960329","842.0","11891.0","3055.0","1.277645E7","184.52196389746817","142.96059905599355","165.37660466003197","3298.6441717791413","5.0","1","33"
"58","58","2","4000.0647813390183","7","4005.372025383395","1516.730762587196","1130.0","9337.0","3774.0","1.5148317E7","187.5291815630833","139.4521784461092","165.37660466003197","3857.201219512195","5.0","1","33"
"59","59","2","4127.107565111485","6","4081.955905511811","1017.6986019281613","1702.0","8342.0","3803.0","1.5552252E7","185.02316684173738","137.44736666903245","163.8729958272244","4006.2025316455697","5.0","1","33"
"60","60","2","3473.8921428246053","5","3384.7729199788023","982.1133876357916","1253.0","7838.0","3357.0","1.2774133E7","185.02316684173738","135.44255489195567","163.3717928829552","3306.2147239263804","5.0","1","33"
"61","61","2","4098.311649576077","4","4136.861425190639","1596.8945634276092","1980.0","11216.0","3546.0","1.5732484E7","182.51715212039142","140.4545843346476","163.21879408944147","4015.7256097560976","5.0","1","33"
"62","62","2","4438.029154720325","3","4492.713946744002","1918.831993577347","2234.0","11896.0","3811.0","1.7040864E7","179.00873151050706","142.45939611172437","163.21879408944147","4452.963414634146","5.0","1","33"
"63","63","2","4572.507600851089","2","4535.241807610993","1781.1493537283955","2289.0","11306.0","3897.0","1.7161355E7","176.50271678916113","141.45699022318598","163.21879408944147","4427.610062893082","5.0","1","33"
"64","64","2","3625.856267554437","1","3714.0670926517573","975.6318706503334","1065.0","8309.0","3492.0","1.3950036E7","173.2703974503303","138.95097550184005","156.5290537385643","3577.8333333333335","5.0","1","33"
"65","65","1","4158.078362803273","0","4195.72084334134","1282.0508526114836","1242.0","9860.0","3988.0","1.5721366E7","173.77160039459952","139.45217844610923","156.5290537385643","4079.306666666667","5.0","1","33"
"66","66","1","3009.1781800599347","32","3002.6194784459817","776.8191775202661","759.0","6831.0","3008.0","1.1283844E7","176.27761511594545","50.99323025296494","187.56565586701163","2856.890243902439","5.0","4","33"
"67","67","2","2817.845899432275","31","2741.39235465888","823.7378268972776","600.0","5878.0","2666.0","1.0326825E7","175.27520922740706","51.49443319723414","187.56565586701163","2624.420731707317","5.0","4","33"
"68","68","2","2923.69847183615","30","2900.600212652844","676.6008955024304","830.0","5151.0","2842.0","1.0912058E7","174.27280333886867","51.995636141503326","187.56565586701163","2805.628048780488","5.0","4","33"
"69","69","2","2939.8175791172025","29","2793.1461988304095","771.192321198219","702.0","5054.0","2804.0","1.0507816E7","174.27280333886867","51.995636141503326","187.56565586701163","2658.1158536585367","5.0","4","33"
"70","70","2","2732.1898043880988","28","2804.5731382978724","761.1704782179914","838.0","6065.0","2708.0","1.0545195E7","172.26799156179192","54.50165086284928","187.56565586701163","2769.109756097561","5.0","4","33"
"71","71","2","2769.7455550392474","27","2719.6115485564305","628.7237513809249","875.0","5260.0","2719.0","1.036172E7","174.27280333886867","52.99804203004172","192.07648236543434","2581.768292682927","5.0","4","33"
"72","72","2","2652.089958014352","26","2668.313953488372","457.6462488526331","1301.0","4431.0","2624.0","1.00969E7","175.57658754970993","53.49924497431091","191.75053631272402","2531.3584905660377","5.0","4","33"
"73","73","2","2476.151008261653","25","2533.8742071881607","707.0390071129976","997.0","5963.0","2470.0","9588180.0","175.57658754970993","58.51127441700282","191.75053631272402","2522.88125","5.0","4","33"
"74","74","2","2494.354334298958","24","2546.628405183814","650.0750455069134","1063.0","5324.0","2489.0","9628802.0","176.0777904939791","61.518492082617946","189.74572453564724","2457.3006134969323","5.0","4","33"
"75","75","2","2991.141558388298","23","2979.2278848692895","728.8627962713732","971.0","5494.0","2981.0","1.1282336E7","174.07297871690233","67.03172446957906","189.74572453564724","2874.858024691358","5.0","4","33"
"76","76","2","3040.8288927297826","22","3068.3595683074495","553.0692652095718","1374.0","4966.0","3043.0","1.1656698E7","172.79376223646855","66.53052152530987","184.85653374499256","2914.560975609756","5.0","4","33"
